Accession	Rare	Ratio	Replicate
SRR10198789	COTO	1:192	10
SRR10198790	COTO	1:192	09
SRR10198791	COTO	1:192	08
SRR10198792	COTO	1:192	07
SRR10198793	TABR	1:64	10
SRR10198794	TABR	1:64	09
SRR10198795	TABR	1:64	08
SRR10198796	TABR	1:64	07
SRR10198797	TABR	1:64	06
SRR10198798	COTO	1:64	03
SRR10198799	COTO	1:64	02
SRR10198800	COTO	1:64	01
SRR10198801	COTO	1:192	04
SRR10198802	TABR	1:192	10
SRR10198803	TABR	1:192	09
SRR10198804	TABR	1:192	08
SRR10198805	TABR	1:192	07
SRR10198806	TABR	1:192	06
SRR10198807	TABR	1:192	05
SRR10198808	TABR	1:192	04
SRR10198809	TABR	1:192	03
SRR10198810	TABR	1:192	02
SRR10198811	TABR	1:192	01
SRR10198812	COTO	1:192	03
SRR10198813	EPFU	1:192	10
SRR10198814	EPFU	1:192	09
SRR10198815	EPFU	1:192	08
SRR10198816	EPFU	1:192	07
SRR10198817	EPFU	1:192	06
SRR10198818	EPFU	1:192	05
SRR10198819	EPFU	1:192	04
SRR10198820	EPFU	1:192	03
SRR10198821	EPFU	1:192	02
SRR10198822	EPFU	1:192	01
SRR10198823	COTO	1:192	02
SRR10198824	COTO	1:192	01
SRR10198825	TABR	1:64	05
SRR10198826	TABR	1:64	04
SRR10198827	TABR	1:64	03
SRR10198828	TABR	1:64	02
SRR10198829	TABR	1:64	01
SRR10198830	COTO	1:192	06
SRR10198831	EPFU	1:64	10
SRR10198832	EPFU	1:64	09
SRR10198833	EPFU	1:64	08
SRR10198834	EPFU	1:64	07
SRR10198835	EPFU	1:64	06
SRR10198836	EPFU	1:64	05
SRR10198837	EPFU	1:64	04
SRR10198838	EPFU	1:64	03
SRR10198839	EPFU	1:64	02
SRR10198840	EPFU	1:64	01
SRR10198841	COTO	1:192	05
SRR10198842	COTO	1:64	10
SRR10198843	COTO	1:64	09
SRR10198844	COTO	1:64	08
SRR10198845	COTO	1:64	07
SRR10198846	COTO	1:64	06
SRR10198847	COTO	1:64	05
SRR10198848	COTO	1:64	04
