run_accession	read_count	sample	marker
ERR2678656	2483453	MC1	NF1-18Sr2b
ERR2678657	2349364	MC2	NF1-18Sr2b
ERR2678658	2435278	MC3	NF1-18Sr2b
ERR2678659	260778	Blank	NF1-18Sr2b
ERR2678660	3162379	MC1	SSUF04-SSUR22
ERR2678661	2790363	MC2	SSUF04-SSUR22
ERR2678662	1953138	MC3	SSUF04-SSUR22
ERR2678663	57199	Blank	SSUF04-SSUR22
ERR2678664	3897994	MC1	D3Af-D3Br
ERR2678665	4228233	MC2	D3Af-D3Br
ERR2678666	4309817	MC3	D3Af-D3Br
ERR2678667	1193593	Blank	D3Af-D3Br
ERR2678668	1236201	MC1	JB3-JB5GED
ERR2678669	2160885	MC2	JB3-JB5GED
ERR2678670	1204900	MC3	JB3-JB5GED
ERR2678671	69641	Blank	JB3-JB5GED
